Report_Date,Location,Vegetation_Details,Land_Size(Acres),Season,Species,Stage,Soil_Type,Distribution,GPS_Coordinates
2020-06-26,Nzaui District,Staple Crops,674.0085785844758,Dry/Hot Season(January-March),Migratory locust (Locusta migratoria),Eggs(Breeding Ground),Peat Soil,Unknown,"(Decimal('-48.0240995'), Decimal('140.373395'))"
2023-09-16,Ndhiwa District,Fruit Orchards,568.7358238703475,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Unknown,Laterite Soil,Entire Field,"(Decimal('43.239461'), Decimal('-85.578615'))"
2022-06-23,Garbatula District,Unknown,117.56900438996598,Dry/Warm Season(September-October),Unknown,Unknown,Peat Soil,Unknown,"(Decimal('5.965949'), Decimal('-116.843597'))"
2020-01-27,Garissa District,Unknown,914.0988639711816,Wet Season/Long Rains(April-June),Grasshoppers,Hoppers/Nymph(Breeding Ground),Clay Soil,Entire Area,"(Decimal('-52.1364095'), Decimal('60.873137'))"
2021-05-31,Kisumu East District,Vegetable Crops,164.120310565214,Dry/Cold Season(July-August),Unknown,Adults,Laterite Soil,Paddock Only,"(Decimal('-2.693470'), Decimal('141.071059'))"
2024-04-07,Nairobi North District,Unknown,435.26575721683685,Wet Season/Long Rains(April-June),Unknown,Adults,Loam Soil,Entire Area,"(Decimal('-38.0741455'), Decimal('-39.104380'))"
2023-08-05,Garbatula District,Vegetable Crops,873.5454215683949,Wet Season/Short Rains(November-December),Bombay Locust ( Nomadacris succincta),Unknown,Alluvial Soil,Entire Area,"(Decimal('-22.733968'), Decimal('-123.696773'))"
2020-03-23,Kangundo District,Pasture and Grasslands,352.34617609241576,Wet Season/Short Rains(November-December),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Peat Soil,Entire Area,"(Decimal('77.8360585'), Decimal('-132.772224'))"
2021-11-24,Mbooni East District,Vegetable Crops,868.6912956886633,Dry/Cold Season(July-August),Unknown,Hoppers/Nymph(Breeding Ground),Laterite Soil,Paddock Only,"(Decimal('-40.190044'), Decimal('-177.261941'))"
2021-03-13,Wajir West District,Pasture and Grasslands,789.1194616069106,Wet Season/Short Rains(November-December),Migratory locust (Locusta migratoria),Adults,Loam Soil,Unknown,"(Decimal('-11.523169'), Decimal('-38.170961'))"
2021-10-21,Bungoma East District,Staple Crops,535.3255279897678,Dry/Warm Season(September-October),Spur Throated Locusts,Fledglings(Young Adults),Unknown,Entire Field,"(Decimal('-40.5316805'), Decimal('75.742836'))"
2021-09-03,Masinga District,Staple Crops,200.0038173792067,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Adults,Peat Soil,Entire Field,"(Decimal('51.499117'), Decimal('139.596743'))"
2023-03-12,Taita District,Staple Crops,161.84801652643864,Dry/Cold Season(July-August),Migratory locust (Locusta migratoria),Fledglings(Young Adults),Loam Soil,Entire Area,"(Decimal('79.348482'), Decimal('13.256236'))"
2024-03-11,Kaloleni District,Staple Crops,340.9794104390164,Dry/Cold Season(July-August),Desert Locusts(Schistocerca gregaria),Eggs(Breeding Ground),Loose Sandy Soil,Entire Area,"(Decimal('-15.247720'), Decimal('-80.870417'))"
2022-10-29,Imenti North District,Pasture and Grasslands,197.28317966464334,Wet Season/Long Rains(April-June),Tree locust (Anacridium sp.),Unknown,Alluvial Soil,Entire Area,"(Decimal('25.337921'), Decimal('49.013105'))"
2021-04-10,Kibwezi District,Fruit Orchards,726.5236312350578,Dry/Hot Season(January-March),Unknown,Hoppers/Nymph(Breeding Ground),Peat Soil,Entire Field,"(Decimal('-59.981015'), Decimal('-170.361035'))"
2022-06-23,Igembe South District,Unknown,109.22356448538189,Wet Season/Short Rains(November-December),Spur Throated Locusts,Fledglings(Young Adults),Unknown,Entire Field,"(Decimal('-20.0349215'), Decimal('-10.508593'))"
2023-05-26,Kilindini District,Vegetable Crops,458.4884956097908,Wet Season/Long Rains(April-June),Migratory locust (Locusta migratoria),Adults,Alluvial Soil,Entire Field,"(Decimal('-47.1498275'), Decimal('-84.512503'))"
2023-10-09,Nyatike District,Pasture and Grasslands,818.94793922809,Short Rains/Wet Season(April-June),Grasshoppers,Fledglings(Young Adults),Laterite Soil,Entire Area,"(Decimal('-61.862261'), Decimal('-67.669023'))"
2022-12-10,Lamu District,Pasture and Grasslands,11.180472741259232,Dry/Cold Season(July-August),Spur Throated Locusts,Fledglings(Young Adults),Peat Soil,Unknown,"(Decimal('1.593582'), Decimal('-108.128106'))"
2020-04-25,Mt. Elgon District,Unknown,196.20090836305644,Dry/Hot Season(January-March),Migratory locust (Locusta migratoria),Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Entire Area,"(Decimal('44.197388'), Decimal('-43.663192'))"
2020-05-16,Mirangini District,Unknown,583.2723064583373,Wet Season/Short Rains(November-December),Bombay Locust ( Nomadacris succincta),Adults,Laterite Soil,Entire Area,"(Decimal('-62.129172'), Decimal('-16.244341'))"
2021-03-14,Wajir East District,Staple Crops,829.9231079674079,Dry/Warm Season(September-October),Unknown,Eggs(Breeding Ground),Alluvial Soil,Entire Area,"(Decimal('67.139878'), Decimal('179.501323'))"
2022-08-07,Thika West District,Pasture and Grasslands,517.4583765270501,Wet Season/Short Rains(November-December),Spur Throated Locusts,Fledglings(Young Adults),Loam Soil,Unknown,"(Decimal('-80.4433645'), Decimal('-138.618194'))"
2020-01-24,Kisumu East District,Staple Crops,23.786963339823558,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Peat Soil,Paddock Only,"(Decimal('-2.310699'), Decimal('-15.208926'))"
2021-09-24,Kitui West District,Staple Crops,596.9855914656157,Dry/Hot Season(January-March),Migratory locust (Locusta migratoria),Adults,Alluvial Soil,Unknown,"(Decimal('-60.9357635'), Decimal('171.740252'))"
2022-08-04,Ijara District,Fruit Orchards,42.48508921464262,Dry/Warm Season(September-October),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Clay Soil,Entire Area,"(Decimal('-86.7471255'), Decimal('85.524435'))"
2022-04-02,Mombasa District,Vegetable Crops,435.34491825937437,Dry/Hot Season(January-March),Spur Throated Locusts,Unknown,Laterite Soil,Paddock Only,"(Decimal('-67.0632605'), Decimal('-0.586993'))"
2021-05-08,Butere District,Pasture and Grasslands,663.5982467921178,Wet Season/Short Rains(November-December),Spur Throated Locusts,Eggs(Breeding Ground),Clay Soil,Entire Area,"(Decimal('-51.3438635'), Decimal('-127.365950'))"
2021-06-29,Suba District,Pasture and Grasslands,779.9942073684336,Dry/Hot Season(January-March),Red locust (Nomadacris septemfasciata),Hoppers/Nymph(Breeding Ground),Laterite Soil,Entire Field,"(Decimal('6.286341'), Decimal('-81.466649'))"
2024-01-25,Masaba District,Unknown,595.7127148008834,Wet Season/Short Rains(November-December),Unknown,Eggs(Breeding Ground),Loose Sandy Soil,Paddock Only,"(Decimal('80.4983425'), Decimal('72.294508'))"
2020-12-01,Mutitu District,Vegetable Crops,350.97890081071927,Dry/Hot Season(January-March),Grasshoppers,Fledglings(Young Adults),Loose Sandy Soil,Entire Area,"(Decimal('70.9803775'), Decimal('-81.043956'))"
2023-12-23,Nyahururu District,Fruit Orchards,422.52133910428387,Wet Season/Short Rains(November-December),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Unknown,"(Decimal('-30.5377725'), Decimal('123.488651'))"
2023-12-07,Maara District,Pasture and Grasslands,676.481070130162,Dry/Warm Season(September-October),Tree locust (Anacridium sp.),Unknown,Loam Soil,Entire Area,"(Decimal('-32.882230'), Decimal('144.868222'))"
2020-11-13,Masinga District,Vegetable Crops,921.2704416141285,Dry/Hot Season(January-March),Unknown,Adults,Laterite Soil,Paddock Only,"(Decimal('4.1714095'), Decimal('-156.838862'))"
2023-03-24,Turkana North District,Pasture and Grasslands,807.4014576652758,Wet Season/Short Rains(November-December),Red locust (Nomadacris septemfasciata),Hoppers/Nymph(Breeding Ground),Peat Soil,Entire Field,"(Decimal('36.901900'), Decimal('54.044286'))"
2020-09-03,Vihiga District,Staple Crops,291.2098395763121,Short Rains/Wet Season(April-June),Tree locust (Anacridium sp.),Fledglings(Young Adults),Loam Soil,Entire Field,"(Decimal('-28.255199'), Decimal('55.086057'))"
2023-08-25,Samburu Central District,Vegetable Crops,11.041428403711977,Dry/Warm Season(September-October),Red locust (Nomadacris septemfasciata),Unknown,Loose Sandy Soil,Unknown,"(Decimal('-65.5955265'), Decimal('-138.846126'))"
2023-11-26,Nyeri East District,Fruit Orchards,442.18082613986985,Dry/Cold Season(July-August),Unknown,Hoppers/Nymph(Breeding Ground),Peat Soil,Unknown,"(Decimal('-56.8031525'), Decimal('34.140446'))"
2021-03-18,Ndhiwa District,Unknown,21.418172026832245,Dry/Warm Season(September-October),Spur Throated Locusts,Adults,Loose Sandy Soil,Entire Field,"(Decimal('41.8165775'), Decimal('54.196379'))"
2024-01-27,Kuria East District,Staple Crops,230.47009295057026,Dry/Hot Season(January-March),Grasshoppers,Unknown,Peat Soil,Entire Field,"(Decimal('58.9033765'), Decimal('68.764453'))"
2023-06-11,Keiyo District,Vegetable Crops,101.35714425570345,Wet Season/Short Rains(November-December),Red locust (Nomadacris septemfasciata),Unknown,Clay Soil,Unknown,"(Decimal('59.9904875'), Decimal('-87.950411'))"
2020-11-08,Kieni West District,Pasture and Grasslands,515.3056313470385,Wet Season/Long Rains(April-June),Migratory locust (Locusta migratoria),Adults,Loose Sandy Soil,Paddock Only,"(Decimal('-23.469344'), Decimal('-37.038966'))"
2023-08-15,Isiolo District,Unknown,617.3127664212982,Dry/Cold Season(July-August),Unknown,Eggs(Breeding Ground),Laterite Soil,Paddock Only,"(Decimal('72.589591'), Decimal('81.358581'))"
2021-01-06,Wajir North District,Staple Crops,323.29879834533045,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Unknown,Peat Soil,Entire Area,"(Decimal('-25.109026'), Decimal('64.525047'))"
2024-02-19,Mandera North District,Unknown,652.0596113056675,Dry/Cold Season(July-August),Migratory locust (Locusta migratoria),Fledglings(Young Adults),Clay Soil,Paddock Only,"(Decimal('-84.9219615'), Decimal('-149.655173'))"
2020-01-08,Uriri District,Unknown,218.7974898568014,Short Rains/Wet Season(April-June),Unknown,Hoppers/Nymph(Breeding Ground),Laterite Soil,Entire Area,"(Decimal('0.583319'), Decimal('-152.306800'))"
2022-02-24,Kiambaa District,Fruit Orchards,746.098943700682,Dry/Cold Season(July-August),Unknown,Fledglings(Young Adults),Laterite Soil,Unknown,"(Decimal('-41.845346'), Decimal('-55.249144'))"
2021-09-30,Tigania West District,Vegetable Crops,767.2747344516796,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Laterite Soil,Unknown,"(Decimal('-80.285731'), Decimal('-179.228967'))"
2021-01-21,Nyatike District,Staple Crops,963.4507318508315,Dry/Warm Season(September-October),Spur Throated Locusts,Unknown,Laterite Soil,Entire Field,"(Decimal('-28.598607'), Decimal('98.219967'))"
2022-04-05,Gucha District,Staple Crops,543.6591522625156,Dry/Warm Season(September-October),Tree locust (Anacridium sp.),Unknown,Unknown,Unknown,"(Decimal('-82.936020'), Decimal('-167.373411'))"
2024-02-26,Wareng District,Unknown,870.6588809038496,Wet Season/Short Rains(November-December),Desert Locusts(Schistocerca gregaria),Unknown,Clay Soil,Unknown,"(Decimal('-13.361130'), Decimal('-22.613931'))"
2022-03-11,Nyandarua Central District,Fruit Orchards,916.8582432108508,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Fledglings(Young Adults),Loose Sandy Soil,Unknown,"(Decimal('0.6641275'), Decimal('94.062283'))"
2023-10-14,Rachuonyo South District,Vegetable Crops,142.7431935554586,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Adults,Laterite Soil,Entire Area,"(Decimal('-83.578744'), Decimal('167.613267'))"
2023-02-06,Matungulu District,Vegetable Crops,914.8998788622569,Wet Season/Long Rains(April-June),Unknown,Unknown,Loose Sandy Soil,Entire Area,"(Decimal('56.361886'), Decimal('73.607611'))"
2020-05-28,Kitui West District,Pasture and Grasslands,346.67630428606356,Dry/Cold Season(July-August),Grasshoppers,Hoppers/Nymph(Breeding Ground),Laterite Soil,Paddock Only,"(Decimal('85.7727295'), Decimal('-74.293404'))"
2022-08-14,Kieni East District,Pasture and Grasslands,334.9155870019282,Dry/Warm Season(September-October),Migratory locust (Locusta migratoria),Eggs(Breeding Ground),Loose Sandy Soil,Unknown,"(Decimal('49.422854'), Decimal('29.760579'))"
2021-02-26,Nairobi West District,Vegetable Crops,848.8268970566908,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Eggs(Breeding Ground),Laterite Soil,Entire Field,"(Decimal('17.8355505'), Decimal('32.457165'))"
2020-07-12,Moyale District,Unknown,423.30624637147326,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Peat Soil,Entire Area,"(Decimal('-86.598431'), Decimal('70.094290'))"
2023-05-07,Mandera North District,Vegetable Crops,200.55345136487037,Wet Season/Short Rains(November-December),Migratory locust (Locusta migratoria),Adults,Alluvial Soil,Unknown,"(Decimal('-69.460800'), Decimal('-136.559227'))"
2024-03-04,Kitui West District,Staple Crops,807.0802262757888,Wet Season/Long Rains(April-June),Unknown,Unknown,Peat Soil,Unknown,"(Decimal('-66.1441195'), Decimal('97.659102'))"
2020-05-14,Uriri District,Vegetable Crops,630.1254572921126,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Eggs(Breeding Ground),Laterite Soil,Entire Field,"(Decimal('-85.2623805'), Decimal('-87.869860'))"
2022-06-23,Nakuru District,Vegetable Crops,465.5499778739666,Short Rains/Wet Season(April-June),Bombay Locust ( Nomadacris succincta),Eggs(Breeding Ground),Peat Soil,Entire Area,"(Decimal('0.863716'), Decimal('-113.749764'))"
2024-03-20,Keiyo District,Fruit Orchards,730.1681423411887,Dry/Hot Season(January-March),Unknown,Eggs(Breeding Ground),Peat Soil,Entire Field,"(Decimal('81.5226555'), Decimal('10.085972'))"
2021-06-04,Bungoma Central District,Pasture and Grasslands,273.6108036868647,Wet Season/Short Rains(November-December),Grasshoppers,Eggs(Breeding Ground),Laterite Soil,Entire Field,"(Decimal('9.705964'), Decimal('-176.698200'))"
2022-12-08,Kaloleni District,Pasture and Grasslands,390.3921321388578,Wet Season/Short Rains(November-December),Migratory locust (Locusta migratoria),Eggs(Breeding Ground),Unknown,Unknown,"(Decimal('15.340831'), Decimal('-55.865249'))"
2020-04-02,Gatanga District,Unknown,415.5301472409175,Dry/Cold Season(July-August),Grasshoppers,Fledglings(Young Adults),Loam Soil,Entire Area,"(Decimal('74.6372485'), Decimal('127.626852'))"
2021-05-25,Sotik District,Fruit Orchards,934.7593719299213,Dry/Hot Season(January-March),Red locust (Nomadacris septemfasciata),Unknown,Loose Sandy Soil,Unknown,"(Decimal('0.662317'), Decimal('120.390067'))"
2022-09-08,Trans Mara District,Pasture and Grasslands,826.5789818660095,Dry/Cold Season(July-August),Spur Throated Locusts,Hoppers/Nymph(Breeding Ground),Loam Soil,Entire Area,"(Decimal('43.9208055'), Decimal('155.388614'))"
2023-03-08,Wajir West District,Vegetable Crops,793.9304514046185,Short Rains/Wet Season(April-June),Grasshoppers,Adults,Loam Soil,Entire Area,"(Decimal('-27.0153905'), Decimal('36.298473'))"
2021-09-28,Vihiga District,Pasture and Grasslands,434.6858841620989,Short Rains/Wet Season(April-June),Bombay Locust ( Nomadacris succincta),Fledglings(Young Adults),Peat Soil,Entire Field,"(Decimal('-56.7923875'), Decimal('93.854086'))"
2022-12-27,Lagdera District,Unknown,746.4981207736047,Dry/Cold Season(July-August),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Clay Soil,Paddock Only,"(Decimal('-72.103274'), Decimal('-134.006994'))"
2022-02-04,Malindi District,Staple Crops,865.7760592176437,Wet Season/Long Rains(April-June),Tree locust (Anacridium sp.),Adults,Laterite Soil,Paddock Only,"(Decimal('6.215770'), Decimal('-167.155735'))"
2024-01-12,Turkana South District,Pasture and Grasslands,908.4047349059535,Dry/Hot Season(January-March),Unknown,Fledglings(Young Adults),Clay Soil,Entire Field,"(Decimal('-15.485516'), Decimal('-90.231045'))"
2020-11-16,Baringo Central District,Staple Crops,335.79144838378784,Wet Season/Short Rains(November-December),Migratory locust (Locusta migratoria),Unknown,Alluvial Soil,Entire Area,"(Decimal('75.1438425'), Decimal('-109.724506'))"
2020-09-20,Mukurweini District,Fruit Orchards,824.9947241421012,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Loam Soil,Entire Area,"(Decimal('43.217845'), Decimal('-110.459428'))"
2020-06-22,Kwale District,Unknown,158.06155024001666,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Unknown,Entire Area,"(Decimal('-14.4537995'), Decimal('120.804254'))"
2021-11-04,Kakamega South District,Pasture and Grasslands,939.307241226798,Dry/Cold Season(July-August),Migratory locust (Locusta migratoria),Fledglings(Young Adults),Clay Soil,Unknown,"(Decimal('-16.128857'), Decimal('55.672573'))"
2022-04-05,Nandi South District,Unknown,23.715342206900385,Dry/Warm Season(September-October),Desert Locusts(Schistocerca gregaria),Adults,Laterite Soil,Paddock Only,"(Decimal('87.2682765'), Decimal('119.292588'))"
2024-01-04,Makueni District,Unknown,397.80457925418847,Dry/Hot Season(January-March),Grasshoppers,Adults,Loose Sandy Soil,Entire Field,"(Decimal('-17.633138'), Decimal('-46.129587'))"
2022-10-25,Nakuru North District,Vegetable Crops,430.9169646568372,Short Rains/Wet Season(April-June),Spur Throated Locusts,Unknown,Loam Soil,Entire Area,"(Decimal('4.686955'), Decimal('-174.810549'))"
2022-04-19,South Gucha District,Pasture and Grasslands,911.5227701751423,Wet Season/Long Rains(April-June),Spur Throated Locusts,Fledglings(Young Adults),Alluvial Soil,Entire Field,"(Decimal('30.057561'), Decimal('-85.456427'))"
2023-11-09,Bungoma East District,Fruit Orchards,486.96956742205737,Wet Season/Short Rains(November-December),Spur Throated Locusts,Unknown,Alluvial Soil,Entire Area,"(Decimal('83.615544'), Decimal('-78.741091'))"
2021-05-10,Kathiani District,Vegetable Crops,411.96289603631357,Wet Season/Long Rains(April-June),Red locust (Nomadacris septemfasciata),Hoppers/Nymph(Breeding Ground),Laterite Soil,Entire Field,"(Decimal('-86.9662595'), Decimal('-3.536025'))"
2024-01-23,Kilifi District,Pasture and Grasslands,394.90688715352826,Dry/Hot Season(January-March),Migratory locust (Locusta migratoria),Unknown,Laterite Soil,Paddock Only,"(Decimal('85.4589495'), Decimal('-23.817078'))"
2022-05-21,Suba District,Unknown,78.44936315074276,Dry/Warm Season(September-October),Migratory locust (Locusta migratoria),Unknown,Loam Soil,Entire Area,"(Decimal('41.3072395'), Decimal('21.100132'))"
2021-07-23,Malindi District,Staple Crops,508.7275201929345,Short Rains/Wet Season(April-June),Spur Throated Locusts,Adults,Alluvial Soil,Entire Area,"(Decimal('-57.974529'), Decimal('71.763242'))"
2024-04-25,Molo District,Unknown,806.2097394637454,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Unknown,Peat Soil,Unknown,"(Decimal('-29.109078'), Decimal('104.854181'))"
2023-02-12,Mirangini District,Vegetable Crops,710.0270101527786,Short Rains/Wet Season(April-June),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Unknown,Paddock Only,"(Decimal('77.2184555'), Decimal('36.504475'))"
2023-10-27,Siaya District,Pasture and Grasslands,580.0844850852599,Dry/Warm Season(September-October),Tree locust (Anacridium sp.),Unknown,Clay Soil,Entire Area,"(Decimal('-58.9891665'), Decimal('-156.241848'))"
2021-01-01,Nairobi North District,Unknown,412.9070100756654,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Eggs(Breeding Ground),Loose Sandy Soil,Entire Field,"(Decimal('2.949459'), Decimal('59.008453'))"
2021-02-27,Kakamega East District,Vegetable Crops,67.1932434365897,Dry/Warm Season(September-October),Bombay Locust ( Nomadacris succincta),Fledglings(Young Adults),Alluvial Soil,Entire Area,"(Decimal('31.414386'), Decimal('-58.699857'))"
2023-11-27,Kinango District,Vegetable Crops,673.8803121730448,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Alluvial Soil,Entire Field,"(Decimal('-22.079007'), Decimal('36.239575'))"
2022-10-23,Turkana South District,Pasture and Grasslands,150.78765810359482,Wet Season/Long Rains(April-June),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Peat Soil,Paddock Only,"(Decimal('-5.4669435'), Decimal('120.438777'))"
2023-04-25,Loitoktok District,Pasture and Grasslands,737.7504894950067,Wet Season/Long Rains(April-June),Migratory locust (Locusta migratoria),Unknown,Laterite Soil,Entire Area,"(Decimal('-41.465721'), Decimal('144.357670'))"
2020-12-03,Bungoma North District,Fruit Orchards,715.0979035409296,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Laterite Soil,Entire Field,"(Decimal('-88.8445105'), Decimal('62.141196'))"
2022-05-26,Siaya District,Pasture and Grasslands,773.3459703624935,Wet Season/Long Rains(April-June),Spur Throated Locusts,Unknown,Laterite Soil,Entire Area,"(Decimal('-71.3585015'), Decimal('-17.506050'))"
2020-05-30,Kakamega South District,Staple Crops,8.997499654490225,Short Rains/Wet Season(April-June),Bombay Locust ( Nomadacris succincta),Eggs(Breeding Ground),Laterite Soil,Unknown,"(Decimal('74.4871175'), Decimal('137.918350'))"
2024-01-02,Trans Mara District,Staple Crops,402.7343487626158,Dry/Cold Season(July-August),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Clay Soil,Entire Field,"(Decimal('-10.8764175'), Decimal('14.689620'))"
2022-04-01,Laikipia North District,Unknown,225.9508177691432,Dry/Warm Season(September-October),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Alluvial Soil,Unknown,"(Decimal('-48.0907535'), Decimal('-56.886863'))"
2021-09-04,North Pokot District,Pasture and Grasslands,656.4244845058626,Dry/Warm Season(September-October),Migratory locust (Locusta migratoria),Eggs(Breeding Ground),Loose Sandy Soil,Paddock Only,"(Decimal('-7.5213295'), Decimal('100.831141'))"
2021-11-23,Tana Delta District,Fruit Orchards,289.4692784742627,Short Rains/Wet Season(April-June),Grasshoppers,Fledglings(Young Adults),Clay Soil,Paddock Only,"(Decimal('84.158037'), Decimal('62.390774'))"
2023-03-26,Rachuonyo North District,Unknown,259.1096046741536,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Adults,Unknown,Unknown,"(Decimal('72.8559265'), Decimal('-49.302655'))"
2020-07-27,Kiambu East District,Staple Crops,967.2414600554476,Dry/Hot Season(January-March),Grasshoppers,Adults,Unknown,Entire Area,"(Decimal('-44.347878'), Decimal('-59.193940'))"
2021-11-24,Nyandarua Central District,Unknown,941.5725356107856,Dry/Cold Season(July-August),Migratory locust (Locusta migratoria),Adults,Peat Soil,Unknown,"(Decimal('13.432950'), Decimal('-157.727220'))"
2020-06-25,Homa Bay District,Fruit Orchards,290.82202011496986,Dry/Hot Season(January-March),Spur Throated Locusts,Fledglings(Young Adults),Laterite Soil,Entire Field,"(Decimal('11.2460675'), Decimal('-5.808199'))"
2024-02-21,Nyatike District,Vegetable Crops,572.3833391379333,Wet Season/Long Rains(April-June),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Loam Soil,Entire Area,"(Decimal('-35.473981'), Decimal('3.048323'))"
2022-09-25,Lari District,Fruit Orchards,2.4510354165971213,Dry/Warm Season(September-October),Grasshoppers,Adults,Unknown,Unknown,"(Decimal('49.3928945'), Decimal('-10.325423'))"
2021-04-28,Loima District,Fruit Orchards,938.0404760598952,Dry/Hot Season(January-March),Bombay Locust ( Nomadacris succincta),Unknown,Alluvial Soil,Entire Field,"(Decimal('12.3613505'), Decimal('132.292598'))"
2020-11-08,Nyamira North District,Unknown,945.7798571861044,Dry/Cold Season(July-August),Unknown,Unknown,Alluvial Soil,Entire Field,"(Decimal('-64.512048'), Decimal('169.245768'))"
2023-04-13,Nyahururu District,Staple Crops,135.74531953962776,Dry/Cold Season(July-August),Migratory locust (Locusta migratoria),Unknown,Clay Soil,Unknown,"(Decimal('67.1675125'), Decimal('-69.012494'))"
2023-01-12,Turkana West District,Unknown,637.820491051724,Short Rains/Wet Season(April-June),Migratory locust (Locusta migratoria),Fledglings(Young Adults),Clay Soil,Entire Area,"(Decimal('-18.471395'), Decimal('-50.066554'))"
2022-10-25,Kwanza District,Pasture and Grasslands,962.2163633814708,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Clay Soil,Unknown,"(Decimal('-1.7356785'), Decimal('-156.822962'))"
2021-09-15,Kuria East District,Unknown,901.900569249422,Short Rains/Wet Season(April-June),Grasshoppers,Eggs(Breeding Ground),Loam Soil,Entire Area,"(Decimal('15.523137'), Decimal('119.414837'))"
2024-05-22,Mbita District,Fruit Orchards,897.6377675697241,Dry/Cold Season(July-August),Desert Locusts(Schistocerca gregaria),Eggs(Breeding Ground),Loam Soil,Entire Field,"(Decimal('-39.0296455'), Decimal('69.770830'))"
2023-03-04,Marsabit South District,Staple Crops,113.19694249030913,Dry/Hot Season(January-March),Spur Throated Locusts,Hoppers/Nymph(Breeding Ground),Clay Soil,Paddock Only,"(Decimal('32.751378'), Decimal('55.478824'))"
2023-08-09,Kuria East District,Vegetable Crops,781.4518395849815,Short Rains/Wet Season(April-June),Unknown,Fledglings(Young Adults),Peat Soil,Unknown,"(Decimal('74.148426'), Decimal('137.323524'))"
2020-05-13,Mwingi District,Fruit Orchards,870.0325052424172,Dry/Hot Season(January-March),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Alluvial Soil,Unknown,"(Decimal('24.864796'), Decimal('-81.205891'))"
2023-11-29,Kanyanya District,Staple Crops,428.75294442560437,Dry/Hot Season(January-March),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Unknown,Paddock Only,"(Decimal('84.9339165'), Decimal('-65.472420'))"
2022-09-01,"districts_data = """"""",Fruit Orchards,19.290609207168274,Wet Season/Long Rains(April-June),Desert Locusts(Schistocerca gregaria),Unknown,Unknown,Paddock Only,"(Decimal('42.829763'), Decimal('151.468299'))"
2023-11-22,Uriri District,Staple Crops,958.4663808994358,Wet Season/Short Rains(November-December),Red locust (Nomadacris septemfasciata),Unknown,Unknown,Entire Field,"(Decimal('-25.3163085'), Decimal('155.735518'))"
2022-06-29,Mumias District,Vegetable Crops,353.3224700921109,Dry/Hot Season(January-March),Spur Throated Locusts,Unknown,Clay Soil,Paddock Only,"(Decimal('21.328099'), Decimal('81.965147'))"
2020-04-15,Mukaa District,Staple Crops,215.69367853616023,Dry/Cold Season(July-August),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Loam Soil,Entire Field,"(Decimal('62.976597'), Decimal('-164.066015'))"
2020-01-18,Njoro District,Unknown,893.8830731902725,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Alluvial Soil,Paddock Only,"(Decimal('54.2710165'), Decimal('-144.515159'))"
2020-12-16,Kajiado North District,Pasture and Grasslands,901.0154084765029,Short Rains/Wet Season(April-June),Migratory locust (Locusta migratoria),Unknown,Laterite Soil,Paddock Only,"(Decimal('-60.2485365'), Decimal('-61.931605'))"
2021-09-09,Nyandarua Central District,Unknown,899.5608361819284,Short Rains/Wet Season(April-June),Migratory locust (Locusta migratoria),Fledglings(Young Adults),Laterite Soil,Unknown,"(Decimal('87.3001215'), Decimal('87.182546'))"
